location_aaq,location_lat,location_lon,location_aqi,Date,Benzene,CO,PM2.5,NH3,PM10,NOx,Toluene,Xylene,Ozone,SO2
Punjagutta,17.42616000000004,78.45210000000003,"Buddha Purnima Project office, Tank Bund",2016-01-01 00:00:00,0.122069466991342,1.9008727747059349,,126,126.0,68.79384311893193,7.874168667948899,0.0081305803571428,5.814413324579256,
HCU,17.802515696000057,79.01075984700003,IITH ,2016-01-01 00:00:00,0.7887330483870968,0.914516129032258,49.45161290322581,20.52432290322581,102.96774193548389,59.705380645161306,3.751136290322581,0.0,27.070967741935483,13.042545483870969
Zoopark,16.777300000000025,78.01248000000004,"Balanagar , CITD office ",2016-01-01 00:00:00,4.751027935483872,1.1432645161290322,79.1491935483871,10.458198387096774,165.24059161290322,58.755688709677415,9.404371806451612,2.1246036193548385,32.190325483870964,11.350934548387098
Sanathnagar,17.45876000000004,78.44310000000007,"Kukatpally, JNTU",2016-01-01 00:00:00,2.372242,0.8741303,72.22408,,,67.1101,21.32846,1.031938,78.83308,5.29469
Pashamylaram,17.56176000000005,78.17238000000003,ICRISAT,2016-01-01 00:00:00,0.5079589445161289,1.493887322580645,54.1,43.8,104.7,82.7,7.0,2.0,43.6,23.1
Punjagutta,17.42616000000004,78.45210000000003,Panjagutta,2016-02-01 00:00:00,0.002183908045977,1.57927647918465,,109.714377506943,109.714377506943,51.09861611669338,0.1840277777777777,0.0071494252873563,2.551923576090743,
HCU,17.802515696000057,79.01075984700003,R C Puram,2016-02-01 00:00:00,0.4394402689655171,0.9606896551724138,40.241379310344826,19.332530344827585,90.96551724137932,54.4317072413793,2.946200379310345,0.0019736299999999,23.0448275862069,9.351497586206898
Zoopark,16.777300000000025,78.01248000000004,Zoopark,2016-02-01 00:00:00,1.6,1.0524137931034483,62.241379310344826,10.429519655172411,130.68965517241378,57.6,8.3,2.2,38.9,6.196917862068966
Sanathnagar,17.45876000000004,78.44310000000007,Sanathnagar,2016-02-01 00:00:00,1.2,0.7153846153846153,53,,,46.2,14.8,0.7306988769230768,73.3,4.7
Pashamylaram,17.56176000000005,78.17238000000003,Pashamylaram,2016-02-01 00:00:00,0.4126085025925927,1.4243429629629627,45,29.8,92.05781814814814,62.7,4.9,1.2618252944444446,55.7,12
Punjagutta,17.42616000000004,78.45210000000003,Khairthabad RTA,2016-02-01 00:00:00,0.002183908045977,1.57927647918465,,109.714377506943,109.714377506943,51.09861611669338,0.1840277777777777,0.0071494252873563,2.551923576090743,
HCU,17.802515696000057,79.01075984700003,BPPA,2016-02-01 00:00:00,0.4394402689655171,0.9606896551724138,40.241379310344826,19.332530344827585,90.96551724137932,54.4317072413793,2.946200379310345,0.0019736299999999,23.0448275862069,9.351497586206898
Zoopark,16.777300000000025,78.01248000000004,Balanagar,2016-02-01 00:00:00,1.6,1.0524137931034483,62.241379310344826,10.429519655172411,130.68965517241378,57.6,8.3,2.2,38.9,6.196917862068966
Sanathnagar,17.45876000000004,78.44310000000007,Panjagutta,2016-02-01 00:00:00,1.2,0.7153846153846153,53,,,46.2,14.8,0.7306988769230768,73.3,4.7
Pashamylaram,17.56176000000005,78.17238000000003,Sangareddy,2016-02-01 00:00:00,0.4126085025925927,1.4243429629629627,45,29.8,92.05781814814814,62.7,4.9,1.2618252944444446,55.7,12
Punjagutta,17.42616000000004,78.45210000000003,"Buddha Purnima Project office, Tank Bund",2016-02-01 00:00:00,0.002183908045977,1.57927647918465,,109.714377506943,109.714377506943,51.09861611669338,0.1840277777777777,0.0071494252873563,2.551923576090743,
HCU,17.802515696000057,79.01075984700003,IITH ,2016-02-01 00:00:00,0.4394402689655171,0.9606896551724138,40.241379310344826,19.332530344827585,90.96551724137932,54.4317072413793,2.946200379310345,0.0019736299999999,23.0448275862069,9.351497586206898
Zoopark,16.777300000000025,78.01248000000004,"Balanagar , CITD office ",2016-02-01 00:00:00,1.6,1.0524137931034483,62.241379310344826,10.429519655172411,130.68965517241378,57.6,8.3,2.2,38.9,6.196917862068966
Sanathnagar,17.45876000000004,78.44310000000007,"Kukatpally, JNTU",2016-02-01 00:00:00,1.2,0.7153846153846153,53,,,46.2,14.8,0.7306988769230768,73.3,4.7
Pashamylaram,17.56176000000005,78.17238000000003,ICRISAT,2016-02-01 00:00:00,0.4126085025925927,1.4243429629629627,45,29.8,92.05781814814814,62.7,4.9,1.2618252944444446,55.7,12
Punjagutta,17.42616000000004,78.45210000000003,Panjagutta,2016-03-01 00:00:00,0.0,1.54,,118.89,118.89,66.17,0.22,0.0,4.41,
HCU,17.802515696000057,79.01075984700003,R C Puram,2016-03-01 00:00:00,0.5,1.04,41,18,106,57.4,3.1,0.5,29.0,10.7
Zoopark,16.777300000000025,78.01248000000004,Zoopark,2016-03-01 00:00:00,1.652976158064516,0.9983929741935484,59.354838709677416,10.351596451612904,131.61290322580646,55.81363636363635,7.839819096774192,2.6286202967741925,44.33851387096774,5.4204034838709685
Sanathnagar,17.45876000000004,78.44310000000007,Sanathnagar,2016-03-01 00:00:00,1.1,0.76,61,,,48.3,10.1,1.2,76.6,6.3
Pashamylaram,17.56176000000005,78.17238000000003,Pashamylaram,2016-03-01 00:00:00,0.1358618043333333,0.7095270800000003,43.6,18.401792699999998,105.16666666666667,55.01,1.7199534599999995,1.012252030333333,56.19556966666666,10.5721085
Punjagutta,17.42616000000004,78.45210000000003,Khairthabad RTA,2016-03-01 00:00:00,0.0,1.54,,118.89,118.89,66.17,0.22,0.0,4.41,
HCU,17.802515696000057,79.01075984700003,BPPA,2016-03-01 00:00:00,0.5,1.04,41,18,106,57.4,3.1,0.5,29.0,10.7
Zoopark,16.777300000000025,78.01248000000004,Balanagar,2016-03-01 00:00:00,1.652976158064516,0.9983929741935484,59.354838709677416,10.351596451612904,131.61290322580646,55.81363636363635,7.839819096774192,2.6286202967741925,44.33851387096774,5.4204034838709685
Sanathnagar,17.45876000000004,78.44310000000007,Panjagutta,2016-03-01 00:00:00,1.1,0.76,61,,,48.3,10.1,1.2,76.6,6.3
Pashamylaram,17.56176000000005,78.17238000000003,Sangareddy,2016-03-01 00:00:00,0.1358618043333333,0.7095270800000003,43.6,18.401792699999998,105.16666666666667,55.01,1.7199534599999995,1.012252030333333,56.19556966666666,10.5721085
Punjagutta,17.42616000000004,78.45210000000003,"Buddha Purnima Project office, Tank Bund",2016-03-01 00:00:00,0.0,1.54,,118.89,118.89,66.17,0.22,0.0,4.41,
HCU,17.802515696000057,79.01075984700003,IITH ,2016-03-01 00:00:00,0.5,1.04,41,18,106,57.4,3.1,0.5,29.0,10.7
Zoopark,16.777300000000025,78.01248000000004,"Balanagar , CITD office ",2016-03-01 00:00:00,1.652976158064516,0.9983929741935484,59.354838709677416,10.351596451612904,131.61290322580646,55.81363636363635,7.839819096774192,2.6286202967741925,44.33851387096774,5.4204034838709685
Sanathnagar,17.45876000000004,78.44310000000007,"Kukatpally, JNTU",2016-03-01 00:00:00,1.1,0.76,61,,,48.3,10.1,1.2,76.6,6.3
Pashamylaram,17.56176000000005,78.17238000000003,ICRISAT,2016-03-01 00:00:00,0.1358618043333333,0.7095270800000003,43.6,18.401792699999998,105.16666666666667,55.01,1.7199534599999995,1.012252030333333,56.19556966666666,10.5721085
Punjagutta,17.42616000000004,78.45210000000003,Panjagutta,2016-04-01 00:00:00,2.325061220945705,1.8182543984582564,,114.16904781922169,114.16904781922167,75.1570581942922,21.597365065218007,1.8758747321795064,3.773212206111645,
HCU,17.802515696000057,79.01075984700003,R C Puram,2016-04-01 00:00:00,0.4,1.0,33,20,92.0,60,2.7,0.8,32.4,9.1
Zoopark,16.777300000000025,78.01248000000004,Zoopark,2016-04-01 00:00:00,1.1,0.91,48,24.5,115.0,49.2,5.4,1.6,44.3,6.1
Sanathnagar,17.45876000000004,78.44310000000007,Sanathnagar,2016-04-01 00:00:00,1.1250232740740742,0.7889285714285711,50.857142857142854,,,51.09037178571429,9.521162888888888,1.204332062962963,73.32466571428571,9.097026250000003
Pashamylaram,17.56176000000005,78.17238000000003,Pashamylaram,2016-04-01 00:00:00,0.4278845856666666,0.6374078933333335,34.099797333333335,15.833707100000002,92.79444133333337,56.11159533333333,5.282134316666667,3.926434138666666,52.93270433333331,8.858591066666667
Punjagutta,17.42616000000004,78.45210000000003,Khairthabad RTA,2016-04-01 00:00:00,2.325061220945705,1.8182543984582564,,114.16904781922169,114.16904781922167,75.1570581942922,21.597365065218007,1.8758747321795064,3.773212206111645,
HCU,17.802515696000057,79.01075984700003,BPPA,2016-04-01 00:00:00,0.4,1.0,33,20,92.0,60,2.7,0.8,32.4,9.1
Zoopark,16.777300000000025,78.01248000000004,Balanagar,2016-04-01 00:00:00,1.1,0.91,48,24.5,115.0,49.2,5.4,1.6,44.3,6.1
Sanathnagar,17.45876000000004,78.44310000000007,Panjagutta,2016-04-01 00:00:00,1.1250232740740742,0.7889285714285711,50.857142857142854,,,51.09037178571429,9.521162888888888,1.204332062962963,73.32466571428571,9.097026250000003
Pashamylaram,17.56176000000005,78.17238000000003,Sangareddy,2016-04-01 00:00:00,0.4278845856666666,0.6374078933333335,34.099797333333335,15.833707100000002,92.79444133333337,56.11159533333333,5.282134316666667,3.926434138666666,52.93270433333331,8.858591066666667
Punjagutta,17.42616000000004,78.45210000000003,"Buddha Purnima Project office, Tank Bund",2016-04-01 00:00:00,2.325061220945705,1.8182543984582564,,114.16904781922169,114.16904781922167,75.1570581942922,21.597365065218007,1.8758747321795064,3.773212206111645,
HCU,17.802515696000057,79.01075984700003,IITH ,2016-04-01 00:00:00,0.4,1.0,33,20,92.0,60,2.7,0.8,32.4,9.1
Zoopark,16.777300000000025,78.01248000000004,"Balanagar , CITD office ",2016-04-01 00:00:00,1.1,0.91,48,24.5,115.0,49.2,5.4,1.6,44.3,6.1
Sanathnagar,17.45876000000004,78.44310000000007,"Kukatpally, JNTU",2016-04-01 00:00:00,1.1250232740740742,0.7889285714285711,50.857142857142854,,,51.09037178571429,9.521162888888888,1.204332062962963,73.32466571428571,9.097026250000003
Pashamylaram,17.56176000000005,78.17238000000003,ICRISAT,2016-04-01 00:00:00,0.4278845856666666,0.6374078933333335,34.099797333333335,15.833707100000002,92.79444133333337,56.11159533333333,5.282134316666667,3.926434138666666,52.93270433333331,8.858591066666667
Punjagutta,17.42616000000004,78.45210000000003,Panjagutta,2016-05-01 00:00:00,4.084635099506484,1.6656581523894642,,109.35424006383047,109.35424006383047,71.15402251428968,62.88518623295132,3.2,7.416257333940441,
HCU,17.802515696000057,79.01075984700003,R C Puram,2016-05-01 00:00:00,0.2354521146666667,0.8783333333333332,21.566666666666666,13.969799360000001,58.55172413793103,18.854597479999992,1.5556375633333337,0.4185212056666667,25.579999999999995,7.079359966666668
Zoopark,16.777300000000025,78.01248000000004,Zoopark,2016-05-01 00:00:00,0.3980691517931034,0.7444827586206898,32,30.907148620689654,81.18427655172412,52.41981379310345,2.1755865955172413,0.3762350629655173,36.64137931034482,5.070820518518518
Sanathnagar,17.45876000000004,78.44310000000007,Sanathnagar,2016-05-01 00:00:00,0.636786235483871,0.7125806451612904,40.135753225806454,,,47.39242516129032,6.499357354838711,0.8575247451612904,57.02262483870967,5.062037774193547
Pashamylaram,17.56176000000005,78.17238000000003,Pashamylaram,2016-05-01 00:00:00,0.1746280162068965,0.5091854793103447,22.99859068965517,28.343950344827583,63.65130172413794,76.29707448275862,1.845107324137931,1.6183850568965517,37.88817486206896,5.648909137931034
Punjagutta,17.42616000000004,78.45210000000003,Khairthabad RTA,2016-05-01 00:00:00,4.084635099506484,1.6656581523894642,,109.35424006383047,109.35424006383047,71.15402251428968,62.88518623295132,3.2,7.416257333940441,
HCU,17.802515696000057,79.01075984700003,BPPA,2016-05-01 00:00:00,0.2354521146666667,0.8783333333333332,21.566666666666666,13.969799360000001,58.55172413793103,18.854597479999992,1.5556375633333337,0.4185212056666667,25.579999999999995,7.079359966666668
Zoopark,16.777300000000025,78.01248000000004,Balanagar,2016-05-01 00:00:00,0.3980691517931034,0.7444827586206898,32,30.907148620689654,81.18427655172412,52.41981379310345,2.1755865955172413,0.3762350629655173,36.64137931034482,5.070820518518518
Sanathnagar,17.45876000000004,78.44310000000007,Panjagutta,2016-05-01 00:00:00,0.636786235483871,0.7125806451612904,40.135753225806454,,,47.39242516129032,6.499357354838711,0.8575247451612904,57.02262483870967,5.062037774193547
Pashamylaram,17.56176000000005,78.17238000000003,Sangareddy,2016-05-01 00:00:00,0.1746280162068965,0.5091854793103447,22.99859068965517,28.343950344827583,63.65130172413794,76.29707448275862,1.845107324137931,1.6183850568965517,37.88817486206896,5.648909137931034
Punjagutta,17.42616000000004,78.45210000000003,"Buddha Purnima Project office, Tank Bund",2016-05-01 00:00:00,4.084635099506484,1.6656581523894642,,109.35424006383047,109.35424006383047,71.15402251428968,62.88518623295132,3.2,7.416257333940441,
HCU,17.802515696000057,79.01075984700003,IITH ,2016-05-01 00:00:00,0.2354521146666667,0.8783333333333332,21.566666666666666,13.969799360000001,58.55172413793103,18.854597479999992,1.5556375633333337,0.4185212056666667,25.579999999999995,7.079359966666668
Zoopark,16.777300000000025,78.01248000000004,"Balanagar , CITD office ",2016-05-01 00:00:00,0.3980691517931034,0.7444827586206898,32,30.907148620689654,81.18427655172412,52.41981379310345,2.1755865955172413,0.3762350629655173,36.64137931034482,5.070820518518518
Sanathnagar,17.45876000000004,78.44310000000007,"Kukatpally, JNTU",2016-05-01 00:00:00,0.636786235483871,0.7125806451612904,40.135753225806454,,,47.39242516129032,6.499357354838711,0.8575247451612904,57.02262483870967,5.062037774193547
Pashamylaram,17.56176000000005,78.17238000000003,ICRISAT,2016-05-01 00:00:00,0.1746280162068965,0.5091854793103447,22.99859068965517,28.343950344827583,63.65130172413794,76.29707448275862,1.845107324137931,1.6183850568965517,37.88817486206896,5.648909137931034
Punjagutta,17.42616000000004,78.45210000000003,Panjagutta,2016-06-01 00:00:00,7.796787791569717,1.6807874613537253,,107.09241182666814,107.09241182666814,77.92590684176727,66.2985905761847,4.486737000482878,11.224644432960064,
HCU,17.802515696000057,79.01075984700003,R C Puram,2016-06-01 00:00:00,0.1426909,0.8,15,10.88833,36.0,11.24652,0.8488739,0.122663,24.8,4.887878
Zoopark,16.777300000000025,78.01248000000004,Zoopark,2016-06-01 00:00:00,-,No data,,,,,-,-,,
Sanathnagar,17.45876000000004,78.44310000000007,Sanathnagar,2016-06-01 00:00:00,0.5610604,0.44,29.68814,,,30.45251,4.456926,0.6045355,41.3,5.270953
Pashamylaram,17.56176000000005,78.17238000000003,Pashamylaram,2016-06-01 00:00:00,0.1140024,0.5308893,17.74306,11.94547,49.49132,65.92497,1.031771,1.226555,6.156533,4.813937
Punjagutta,17.42616000000004,78.45210000000003,Khairthabad RTA,2016-06-01 00:00:00,7.796787791569717,1.6807874613537253,,107.09241182666814,107.09241182666814,77.92590684176727,66.2985905761847,4.486737000482878,11.224644432960064,
HCU,17.802515696000057,79.01075984700003,BPPA,2016-06-01 00:00:00,0.1426909,0.8,15,10.88833,36.0,11.24652,0.8488739,0.122663,24.8,4.887878
Zoopark,16.777300000000025,78.01248000000004,Balanagar,2016-06-01 00:00:00,-,No data,,,,,-,-,,
Sanathnagar,17.45876000000004,78.44310000000007,Panjagutta,2016-06-01 00:00:00,0.5610604,0.44,29.68814,,,30.45251,4.456926,0.6045355,41.3,5.270953
Pashamylaram,17.56176000000005,78.17238000000003,Sangareddy,2016-06-01 00:00:00,0.1140024,0.5308893,17.74306,11.94547,49.49132,65.92497,1.031771,1.226555,6.156533,4.813937
Punjagutta,17.42616000000004,78.45210000000003,"Buddha Purnima Project office, Tank Bund",2016-06-01 00:00:00,7.796787791569717,1.6807874613537253,,107.09241182666814,107.09241182666814,77.92590684176727,66.2985905761847,4.486737000482878,11.224644432960064,
HCU,17.802515696000057,79.01075984700003,IITH ,2016-06-01 00:00:00,0.1426909,0.8,15,10.88833,36.0,11.24652,0.8488739,0.122663,24.8,4.887878
Zoopark,16.777300000000025,78.01248000000004,"Balanagar , CITD office ",2016-06-01 00:00:00,-,No data,,,,,-,-,,
Sanathnagar,17.45876000000004,78.44310000000007,"Kukatpally, JNTU",2016-06-01 00:00:00,0.5610604,0.44,29.68814,,,30.45251,4.456926,0.6045355,41.3,5.270953
Pashamylaram,17.56176000000005,78.17238000000003,ICRISAT,2016-06-01 00:00:00,0.1140024,0.5308893,17.74306,11.94547,49.49132,65.92497,1.031771,1.226555,6.156533,4.813937
Punjagutta,17.42616000000004,78.45210000000003,Panjagutta,2016-07-01 00:00:00,5.9,1.6,,95.0,95.0,78.5,49.3,2.9,6.8,
HCU,17.802515696000057,79.01075984700003,R C Puram,2016-07-01 00:00:00,0.1,0.7,10,8.9,28.0,11.6,0.7,0.2,10.2,4.6
Zoopark,16.777300000000025,78.01248000000004,Zoopark,2016-07-01 00:00:00,-,No data,,,,,-,-,,
Sanathnagar,17.45876000000004,78.44310000000007,Sanathnagar,2016-07-01 00:00:00,0.5,0.45,18,,,25.6,4.7,0.7,21.0,5.0
Pashamylaram,17.56176000000005,78.17238000000003,Pashamylaram,2016-07-01 00:00:00,0.1,0.7,12,13.0,37.0,66.6,1,0.7,6.6,3.7
Punjagutta,17.42616000000004,78.45210000000003,Khairthabad RTA,2016-07-01 00:00:00,5.9,1.6,,95.0,95.0,78.5,49.3,2.9,6.8,
HCU,17.802515696000057,79.01075984700003,BPPA,2016-07-01 00:00:00,0.1,0.7,10,8.9,28.0,11.6,0.7,0.2,10.2,4.6
Zoopark,16.777300000000025,78.01248000000004,Balanagar,2016-07-01 00:00:00,-,No data,,,,,-,-,,
Sanathnagar,17.45876000000004,78.44310000000007,Panjagutta,2016-07-01 00:00:00,0.5,0.45,18,,,25.6,4.7,0.7,21.0,5.0
Pashamylaram,17.56176000000005,78.17238000000003,Sangareddy,2016-07-01 00:00:00,0.1,0.7,12,13.0,37.0,66.6,1,0.7,6.6,3.7
Punjagutta,17.42616000000004,78.45210000000003,"Buddha Purnima Project office, Tank Bund",2016-07-01 00:00:00,5.9,1.6,,95.0,95.0,78.5,49.3,2.9,6.8,
HCU,17.802515696000057,79.01075984700003,IITH ,2016-07-01 00:00:00,0.1,0.7,10,8.9,28.0,11.6,0.7,0.2,10.2,4.6
Zoopark,16.777300000000025,78.01248000000004,"Balanagar , CITD office ",2016-07-01 00:00:00,-,No data,,,,,-,-,,
Sanathnagar,17.45876000000004,78.44310000000007,"Kukatpally, JNTU",2016-07-01 00:00:00,0.5,0.45,18,,,25.6,4.7,0.7,21.0,5.0
Pashamylaram,17.56176000000005,78.17238000000003,ICRISAT,2016-07-01 00:00:00,0.1,0.7,12,13.0,37.0,66.6,1,0.7,6.6,3.7
Punjagutta,17.42616000000004,78.45210000000003,Panjagutta,2016-08-01 00:00:00,-,-,,-,,,-,-,-,
HCU,17.802515696000057,79.01075984700003,R C Puram,2016-08-01 00:00:00,0.1242782,0.7516293,10.85432,14.47275,31.3566,29.74674,0.9083892,2.994694,12.27337,4.988065
Zoopark,16.777300000000025,78.01248000000004,Zoopark,2016-08-01 00:00:00,1.3,0.47,17.91037,16.53539,38.27944,17.89061,10.8,10.5,10.3,8.928455
Sanathnagar,17.45876000000004,78.44310000000007,Sanathnagar,2016-08-01 00:00:00,0.4595243,0.4,10.29435,,,24.03859,3.610294,0.3392734,20.8,6.195295
Pashamylaram,17.56176000000005,78.17238000000003,Pashamylaram,2016-08-01 00:00:00,0.07392137,0.835825,12.43079,10.4171,43.81779,75.53783,1.639966,1.670872,15.48519,4.301424
Punjagutta,17.42616000000004,78.45210000000003,Khairthabad RTA,2016-08-01 00:00:00,-,-,,-,,,-,-,-,
HCU,17.802515696000057,79.01075984700003,BPPA,2016-08-01 00:00:00,0.1242782,0.7516293,10.85432,14.47275,31.3566,29.74674,0.9083892,2.994694,12.27337,4.988065
Zoopark,16.777300000000025,78.01248000000004,Balanagar,2016-08-01 00:00:00,1.3,0.47,17.91037,16.53539,38.27944,17.89061,10.8,10.5,10.3,8.928455
Sanathnagar,17.45876000000004,78.44310000000007,Panjagutta,2016-08-01 00:00:00,0.4595243,0.4,10.29435,,,24.03859,3.610294,0.3392734,20.8,6.195295
Pashamylaram,17.56176000000005,78.17238000000003,Sangareddy,2016-08-01 00:00:00,0.07392137,0.835825,12.43079,10.4171,43.81779,75.53783,1.639966,1.670872,15.48519,4.301424
Punjagutta,17.42616000000004,78.45210000000003,"Buddha Purnima Project office, Tank Bund",2016-08-01 00:00:00,-,-,,-,,,-,-,-,
HCU,17.802515696000057,79.01075984700003,IITH ,2016-08-01 00:00:00,0.1242782,0.7516293,10.85432,14.47275,31.3566,29.74674,0.9083892,2.994694,12.27337,4.988065
Zoopark,16.777300000000025,78.01248000000004,"Balanagar , CITD office ",2016-08-01 00:00:00,1.3,0.47,17.91037,16.53539,38.27944,17.89061,10.8,10.5,10.3,8.928455
Sanathnagar,17.45876000000004,78.44310000000007,"Kukatpally, JNTU",2016-08-01 00:00:00,0.4595243,0.4,10.29435,,,24.03859,3.610294,0.3392734,20.8,6.195295
Pashamylaram,17.56176000000005,78.17238000000003,ICRISAT,2016-08-01 00:00:00,0.07392137,0.835825,12.43079,10.4171,43.81779,75.53783,1.639966,1.670872,15.48519,4.301424
Punjagutta,17.42616000000004,78.45210000000003,Panjagutta,2016-09-01 00:00:00,-,-,,-,,,-,-,-,
HCU,17.802515696000057,79.01075984700003,R C Puram,2016-09-01 00:00:00,0.2142508,0.8359008,15.01611,12.20577,33.10981,33.41584,1.731564,3.494502,22.06474,4.771528
Zoopark,16.777300000000025,78.01248000000004,Zoopark,2016-09-01 00:00:00,0.6080295,0.46,16.81935,9.616372,35.21622,16.50282,18.25027,40.64415,20.9,6.854236
Sanathnagar,17.45876000000004,78.44310000000007,Sanathnagar,2016-09-01 00:00:00,0.6513595,0.48,19.08601,,,25.69912,6.258852,0.5106961,25.9,6.812404
Pashamylaram,17.56176000000005,78.17238000000003,Pashamylaram,2016-09-01 00:00:00,0.1713147,0.6868904,23.22283,17.6016,62.67391,64.87439,2.991331,7.201514,19.21792,7.906579
Punjagutta,17.42616000000004,78.45210000000003,Khairthabad RTA,2016-09-01 00:00:00,-,-,,-,,,-,-,-,
HCU,17.802515696000057,79.01075984700003,BPPA,2016-09-01 00:00:00,0.2142508,0.8359008,15.01611,12.20577,33.10981,33.41584,1.731564,3.494502,22.06474,4.771528
Zoopark,16.777300000000025,78.01248000000004,Balanagar,2016-09-01 00:00:00,0.6080295,0.46,16.81935,9.616372,35.21622,16.50282,18.25027,40.64415,20.9,6.854236
Sanathnagar,17.45876000000004,78.44310000000007,Panjagutta,2016-09-01 00:00:00,0.6513595,0.48,19.08601,,,25.69912,6.258852,0.5106961,25.9,6.812404
Pashamylaram,17.56176000000005,78.17238000000003,Sangareddy,2016-09-01 00:00:00,0.1713147,0.6868904,23.22283,17.6016,62.67391,64.87439,2.991331,7.201514,19.21792,7.906579
Punjagutta,17.42616000000004,78.45210000000003,"Buddha Purnima Project office, Tank Bund",2016-09-01 00:00:00,-,-,,-,,,-,-,-,
HCU,17.802515696000057,79.01075984700003,IITH ,2016-09-01 00:00:00,0.2142508,0.8359008,15.01611,12.20577,33.10981,33.41584,1.731564,3.494502,22.06474,4.771528
Zoopark,16.777300000000025,78.01248000000004,"Balanagar , CITD office ",2016-09-01 00:00:00,0.6080295,0.46,16.81935,9.616372,35.21622,16.50282,18.25027,40.64415,20.9,6.854236
Sanathnagar,17.45876000000004,78.44310000000007,"Kukatpally, JNTU",2016-09-01 00:00:00,0.6513595,0.48,19.08601,,,25.69912,6.258852,0.5106961,25.9,6.812404
Pashamylaram,17.56176000000005,78.17238000000003,ICRISAT,2016-09-01 00:00:00,0.1713147,0.6868904,23.22283,17.6016,62.67391,64.87439,2.991331,7.201514,19.21792,7.906579
Punjagutta,17.42616000000004,78.45210000000003,Panjagutta,2016-10-01 00:00:00,-,-,,-,,,-,-,-,
HCU,17.802515696000057,79.01075984700003,R C Puram,2016-10-01 00:00:00,0.3756523,0.9505968,43.41203,13.97383,94.40902,47.63754,2.374345,2.606006,35.47315,11.81311
Zoopark,16.777300000000025,78.01248000000004,Zoopark,2016-10-01 00:00:00,0.8675299,0.71,59.96438,15.59165,115.4603,42.48441,14.25198,26.96811,31.3,6.086657
Sanathnagar,17.45876000000004,78.44310000000007,Sanathnagar,2016-10-01 00:00:00,0.9306112,0.63,44.68506,,,51.16865,9.441895,0.833448,52.4,13.71205
Pashamylaram,17.56176000000005,78.17238000000003,Pashamylaram,2016-10-01 00:00:00,0.2501884,0.8775281,55.8727,24.6967,132.7546,69.47612,4.950235,2.3534,30.22503,21.40628
Punjagutta,17.42616000000004,78.45210000000003,Khairthabad RTA,2016-10-01 00:00:00,-,-,,-,,,-,-,-,
HCU,17.802515696000057,79.01075984700003,BPPA,2016-10-01 00:00:00,0.3756523,0.9505968,43.41203,13.97383,94.40902,47.63754,2.374345,2.606006,35.47315,11.81311
Zoopark,16.777300000000025,78.01248000000004,Balanagar,2016-10-01 00:00:00,0.8675299,0.71,59.96438,15.59165,115.4603,42.48441,14.25198,26.96811,31.3,6.086657
Sanathnagar,17.45876000000004,78.44310000000007,Panjagutta,2016-10-01 00:00:00,0.9306112,0.63,44.68506,,,51.16865,9.441895,0.833448,52.4,13.71205
Pashamylaram,17.56176000000005,78.17238000000003,Sangareddy,2016-10-01 00:00:00,0.2501884,0.8775281,55.8727,24.6967,132.7546,69.47612,4.950235,2.3534,30.22503,21.40628
