District,Date,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
Adilabad,2019-01,93.3,12.201262272089762,29.281907433380084,33.55736325385694,83.5430575035063,0.08269794721407625,7.256011730205279
Adilabad,2019-02,11.9,16.93835403726708,33.29285714285714,27.538509316770185,71.90729813664596,0.06704545454545455,10.35211038961039
Adilabad,2019-03,49.5,21.83211781206171,36.9726507713885,22.477980364656382,59.66381486676017,0.16378299120234605,11.795894428152494
Adilabad,2019-04,151.5,26.98159420289855,40.81739130434783,17.355942028985506,50.24246376811595,0.1640909090909091,12.836969696969696
Adilabad,2019-05,42.5,30.190322580645162,42.70687237026648,13.938008415147264,36.02987377279102,0.7415213946117274,12.58716323296355
Adilabad,2019-06,2473.5,28.328333333333333,39.62611111111111,33.60703703703704,70.77833333333334,0.7847524752475248,11.991287128712871
Adilabad,2019-07,6482.9,24.967921146953405,32.49695340501792,65.38781362007168,92.3010752688172,1.0451553930530166,10.874954296160878
Adilabad,2019-08,4594.4,24.14426523297491,30.264874551971324,73.6483870967742,96.31093189964157,0.5207885304659499,10.23046594982079
Adilabad,2019-09,3302.5,23.688601532567052,30.66072796934866,75.83170498084291,97.66053639846744,0.18237547892720307,8.371264367816092
Adilabad,2019-10,1532.8,22.066397849462366,31.55313620071685,66.63118279569892,98.05035842293907,0.04032258064516129,6.891397849462366
Adilabad,2019-11,81.1,17.72351851851852,31.155370370370374,51.19166666666667,96.40092592592593,0.026296296296296297,5.732407407407408
Adilabad,2019-12,12.8,15.835483870967744,28.842293906810035,49.89130824372759,93.60528673835125,0.0539426523297491,5.4702508960573475
Adilabad,2020-01,446.1,15.586917562724015,28.468279569892474,51.518100358422934,93.19193548387096,6.796167883211679,0.0
Adilabad,2020-02,70.1,16.527011494252875,31.291570881226054,39.10498084291188,83.79885057471265,7.786781609195402,0.0
Adilabad,2020-03,600.9,20.841397849462364,35.37741935483871,34.20412186379929,84.17293906810036,8.658243727598567,0.0
Adilabad,2020-04,302.8,24.32185185185185,38.90870370370371,24.036296296296296,66.05222222222221,8.426296296296297,
Adilabad,2020-05,274.2,28.036379928315412,41.37401433691756,21.14551971326165,55.643906810035844,7.7962365591397855,
Adilabad,2020-06,2595.4,25.674074074074074,35.260185185185186,51.79611111111112,87.57259259259258,8.382527881040893,0.23438661710037173
Adilabad,2020-07,6310.1,24.78736559139785,32.89874551971326,68.68530465949821,96.11818996415771,5.617025089605735,0.13100358422939068
Adilabad,2020-08,4625.0,24.189964157706093,29.935931899641577,76.91021505376344,95.47464157706094,5.27831541218638,0.2910394265232975
Adilabad,2020-09,2825.3,24.37351851851852,32.72888888888889,69.475,96.22037037037038,4.11469465648855,0.05877862595419847
Adilabad,2020-10,1142.8,22.235125448028676,32.595340501792116,58.82616487455197,94.14498207885305,0.088671875,4.2666015625
Adilabad,2020-11,82.1,16.859814814814815,31.270555555555553,42.26685185185185,88.11,0.06763565891472868,4.102325581395349
Adilabad,2020-12,0.2,13.220609318996416,30.335125448028673,35.88996415770609,86.9326164874552,0.044623655913978495,3.9016129032258062
Adilabad,2021-01,5.6,15.545340501792113,31.460215053763438,39.52455197132617,87.78978494623655,0.04390681003584229,4.537634408602151
Adilabad,2021-02,41.7,14.430357142857142,32.2234126984127,25.8843253968254,74.94761904761904,0.09523809523809523,5.866468253968254
Adilabad,2021-03,9.5,20.206093189964157,36.55268817204301,18.766487455197133,59.77956989247312,0.12204301075268816,7.724551971326165
Adilabad,2021-04,162.6,24.277962962962963,38.801111111111105,19.115370370370368,57.31944444444444,0.14314814814814814,9.02074074074074
Adilabad,2021-05,712.1,26.733687943262414,38.32044917257683,19.654255319148938,44.132624113475174,0.14621749408983453,5.968321513002364
Adilabad,2021-06,5737.0,24.50148148148148,33.50574074074074,54.867592592592594,89.47407407407407,0.09555555555555556,6.043888888888889
Adilabad,2021-07,8098.4,24.582616487455198,31.688351254480285,68.5731182795699,93.81541218637993,0.08709677419354839,4.492293906810035
Adilabad,2021-08,4726.7,24.2331541218638,31.523118279569896,67.2926523297491,94.28781362007169,0.07186379928315413,5.0182795698924725
Adilabad,2021-09,6331.8,23.676111111111112,31.132222222222225,69.50444444444445,94.92925925925927,0.07981481481481481,4.572222222222222
Adilabad,2021-10,1180.8,20.574193548387097,32.09713261648746,53.20860215053764,93.34551971326165,0.0017921146953405018,4.08405017921147
Adilabad,2021-11,429.6,18.765925925925927,30.82203703703704,51.257962962962964,92.0712962962963,0.0,0.0
Adilabad,2021-12,149.0,13.996594982078854,29.11236559139785,42.94068100358423,90.96810035842293,0.023118279569892475,3.9480286738351253
Adilabad,2022-01,685.1,13.938888888888888,27.50663082437276,49.81487455197133,92.71881720430108,0.04802867383512545,3.894802867383513
Adilabad,2022-02,13.4,11.214285714285714,36.70357142857143,13.310714285714287,100.0,0.0,64.85714285714285
Adilabad,2022-03,3.0,20.313082437275988,37.096594982078855,21.521505376344088,67.26756272401434,0.01093189964157706,5.238530465949821
Adilabad,2022-04,192.3,25.971666666666668,40.547407407407405,21.980185185185185,63.39407407407408,0.08981481481481482,6.488703703703704
Adilabad,2022-05,496.8,28.018458781362007,40.64336917562724,26.135304659498207,62.504659498207886,0.12526881720430108,8.694444444444445
Adilabad,2022-06,3116.2,26.723888888888887,36.71648148148149,47.041296296296295,80.08888888888889,0.10574074074074075,8.535370370370371
Adilabad,2022-07,15602.4,23.695340501792113,29.63924731182796,81.98745519713262,98.7388888888889,0.2656716417910448,5.901305970149253
Adilabad,2022-08,3702.4,24.383154121863797,32.11021505376344,74.8758064516129,98.4078853046595,0.23627992633517497,8.5390423572744
Adilabad,2022-09,4242.9,24.387222222222224,32.75222222222222,75.79425925925926,99.22851851851853,0.1647279549718574,7.962288930581613
Bhadradri Kothagudem,2021-01,0.0,18.6492286115007,33.33015427769986,45.94544179523142,97.35427769985975,,
Bhadradri Kothagudem,2021-02,0.0,17.847826086956523,34.44394409937888,33.01413043478261,94.98447204968944,,
Bhadradri Kothagudem,2021-03,0.0,21.602805049088357,37.38653576437587,30.093127629733523,91.89775596072931,,
Bhadradri Kothagudem,2021-04,1663.4,24.222028985507247,38.573478260869564,38.00376811594203,90.22855072463767,0.04028985507246377,9.22768115942029
Bhadradri Kothagudem,2021-05,1394.3,26.082331174838114,38.68732654949121,26.824421831637373,58.356059204440335,0.09130434782608696,5.78168362627197
Bhadradri Kothagudem,2021-06,2940.1,25.969710144927536,35.3327536231884,56.23550724637681,93.98579710144926,0.027826086956521744,7.805217391304349
Bhadradri Kothagudem,2021-07,9107.8,25.1601683029453,32.75918653576438,72.62230014025245,97.33239831697054,0.034782608695652174,7.445441795231417
Bhadradri Kothagudem,2021-08,4963.4,25.088218793828894,33.09102384291725,71.33646563814867,97.48723702664796,0.008415147265077139,6.963534361851332
Bhadradri Kothagudem,2021-09,9796.7,24.89782608695652,32.41405797101449,74.79782608695652,98.61362318840578,0.004492753623188406,6.18304347826087
Bhadradri Kothagudem,2021-10,2160.2,23.95890603085554,33.6945301542777,62.78415147265077,98.02019635343618,0.00028050490883590464,5.347124824684432
Bhadradri Kothagudem,2021-11,776.1,22.493478260869566,32.01507246376812,64.63913043478261,97.38971014492753,0.0,0.0
Bhadradri Kothagudem,2021-12,150.3,17.330154277699858,31.134361851332397,50.04165497896213,96.72636746143057,0.00855539971949509,4.6525946704067325
Bhadradri Kothagudem,2022-01,693.1,17.23913043478261,30.838709677419356,49.40589060308556,96.35133239831697,0.002805049088359046,5.232258064516129
Bhadradri Kothagudem,2022-02,0.0,11.214285714285714,36.70357142857143,13.310714285714287,100.0,0.0,64.85714285714286
Bhadradri Kothagudem,2022-03,215.5,21.834782608695654,37.4382889200561,31.496633941093968,91.03211781206171,0.023702664796633945,6.79382889200561
Bhadradri Kothagudem,2022-04,195.1,25.893478260869564,38.64086956521739,38.49521739130435,89.52304347826087,0.08710144927536233,7.235942028985508
Bhadradri Kothagudem,2022-05,999.3,27.31612903225807,39.66143057503506,37.5109396914446,83.50070126227209,0.14740532959326788,8.332819074333802
Bhadradri Kothagudem,2022-06,4729.6,26.605217391304347,37.051884057971016,47.56840579710145,86.68476052249638,0.030377906976744185,7.652325581395349
Bhadradri Kothagudem,2022-07,13358.0,24.698877980364657,31.161009817671808,76.21781206171109,98.3422159887798,0.15353982300884955,6.363421828908554
Bhadradri Kothagudem,2022-08,5853.2,25.141654978962134,32.975315568022445,69.24544179523141,97.23856942496495,0.03361823361823362,6.632763532763533
